ts,mode,url,t_s,bytes_B,path
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_022.jpg,0.302,2196967,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_023.jpg,0.323,2235324,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_024.jpg,0.264,1838077,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_025.jpg,0.226,1617751,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_026.jpg,0.172,1304148,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_027.jpg,0.209,1743003,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_028.jpg,0.251,1781706,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_029.jpg,0.256,2013491,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_030.jpg,0.261,1686912,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_031.jpg,0.082,497240,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_032.jpg,0.191,1506367,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_033.jpg,0.066,411832,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_034.jpg,0.154,1050216,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_035.jpg,0.044,240011,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_036.jpg,0.095,666949,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_037.jpg,0.116,848725,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_038.jpg,0.131,937949,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_039.jpg,0.167,1194429,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_040.jpg,0.248,1908438,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_041.jpg,0.253,1679497,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_042.jpg,0.258,1702185,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_043.jpg,0.207,1370426,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_044.jpg,0.153,1059165,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_045.jpg,0.236,1458374,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_046.jpg,0.083,436390,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_047.jpg,0.274,1914000,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_048.jpg,0.293,1779640,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_049.jpg,0.204,1640476,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_050.jpg,0.275,2072254,wifi
1757254399878,WIFI_ONLY,http://139.224.130.188/images/img_001.jpg,0.402,3386063,wifi
1757254399878,WIFI_ONLY,http://139.224.130.188/images/img_002.jpg,0.028,126035,wifi
1757254399878,WIFI_ONLY,http://139.224.130.188/images/img_003.jpg,0.072,483004,wifi
